NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UKK,South West (England),South West (England),17,6,11,3,25,22,17,3,0,3,12,13,15,3,6,10,4,3,3,3,6,0,8,3,9,3,0,6,3,36,8,8,10,0,4,4,3,8,4,0,5
AT2,Südösterreich,Südösterreich,11,8,9,6,31,15,13,10,4,7,20,4,16,11,8,17,7,12,14,4,8,9,14,4,10,7,10,3,16,13,6,28,6,0,0,11,7,5,0,4,6
DE1,Baden-Württemberg,Baden-Württemberg,12,13,4,5,44,23,21,8,4,4,10,3,15,5,9,16,21,14,12,3,5,10,13,4,13,4,9,0,11,27,4,27,6,0,4,12,12,4,4,4,6
FRC,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,9,0,4,0,31,20,20,6,3,4,11,10,10,6,8,10,11,12,9,3,8,0,11,6,15,4,12,6,11,20,3,22,10,3,8,9,9,6,3,5,4
SE3,Norra Sverige,Norra Sverige,26,13,17,12,48,28,21,15,11,9,11,27,14,19,14,13,9,20,26,4,18,32,12,12,5,11,6,0,13,55,10,16,11,12,6,17,3,10,14,0,18
LV0,Latvija,Latvija,6,7,0,8,32,17,20,10,10,0,4,12,17,13,13,16,8,28,4,0,9,24,12,3,4,14,11,0,7,30,16,23,9,17,8,16,4,7,5,0,7
LI0,Liechtenstein,Liechtenstein,3,0,0,0,8,4,4,3,0,0,3,0,6,0,7,0,0,3,0,0,0,3,4,0,3,3,3,0,6,0,0,11,0,0,0,0,0,3,0,0,0
ES4,Centro (ES),Centro (ES),6,3,15,8,22,13,17,6,0,8,12,7,10,13,3,11,7,8,7,10,9,4,15,3,11,7,5,21,12,19,7,15,12,3,11,3,6,15,6,7,15
DEC,Saarland,Saarland,8,8,6,0,39,21,15,5,0,0,10,4,9,5,7,16,13,7,3,0,4,9,11,4,7,0,3,0,3,23,0,18,0,0,8,5,9,3,0,0,3
ITH,Nord-Est,Nord-Est,17,6,9,9,28,17,13,11,6,20,24,6,18,11,12,12,6,10,17,10,7,6,22,4,15,13,10,6,17,10,8,25,10,4,3,12,7,8,0,5,5
AL0,Shqipëria,Shqipëria,28,3,16,3,16,13,3,19,13,6,25,8,11,3,17,9,8,12,7,11,22,8,7,11,18,21,5,6,11,11,12,16,3,8,8,9,11,4,11,0,9
DE2,Bayern,Bayern,13,10,11,5,48,22,24,7,3,7,14,4,18,9,12,18,12,14,11,3,7,12,12,7,10,12,8,0,12,28,4,24,4,3,5,12,7,4,5,4,6
DED,Sachsen,Sachsen,14,9,10,4,36,21,21,7,0,3,11,0,17,12,11,19,11,17,0,0,6,18,11,3,4,3,3,0,10,21,3,20,12,0,5,8,3,4,3,0,8
UKC,North East (England),North East (England),17,12,3,9,21,17,20,6,0,0,12,17,9,0,5,6,3,4,6,3,5,4,0,0,3,0,0,4,5,32,0,16,9,0,3,7,3,6,7,0,5
ES5,Este,Este,7,6,12,9,25,17,13,7,0,12,13,7,14,6,4,10,8,14,11,6,19,0,13,3,22,6,6,7,7,18,7,18,12,3,8,3,11,11,7,10,8
ES6,Sur,Sur,5,6,13,10,16,15,11,3,0,6,11,6,10,10,0,11,5,7,8,8,9,0,12,3,11,12,5,21,6,7,4,15,6,3,12,6,7,16,3,7,8
FRF,Grand Est,Grand Est,10,9,6,3,38,23,19,8,3,3,12,14,15,8,9,16,18,12,9,3,5,9,12,7,12,4,10,6,10,21,0,23,10,0,9,10,11,6,4,4,5
PL4,Makroregion północno-zachodni,Makroregion północno-zachodni,12,12,10,12,40,23,21,10,3,0,13,4,19,16,6,19,10,21,3,0,3,25,18,0,3,15,3,0,6,29,8,26,7,11,5,12,3,5,4,0,7
NL2,Oost-Nederland,Oost-Nederland,22,4,7,0,32,19,15,4,0,0,10,9,19,9,10,32,16,15,0,0,4,12,13,0,0,0,0,4,5,22,3,15,13,0,5,10,4,4,0,0,7
ITI,Centro (IT),Centro (IT),24,3,11,11,22,12,4,11,10,7,22,6,15,11,15,12,5,9,14,5,10,15,16,4,17,10,11,0,14,9,9,21,11,4,4,8,12,4,3,7,4
LT0,Lietuva,Lietuva,4,3,0,12,34,17,20,10,3,0,7,9,18,12,13,16,10,29,3,0,5,19,12,3,4,11,8,0,7,26,16,23,7,18,6,10,3,7,5,0,9
DE5,Bremen,Bremen,16,5,3,0,28,10,11,4,0,0,0,0,14,11,6,23,16,12,0,0,0,13,17,0,3,0,0,0,0,32,0,11,0,0,3,10,0,4,0,0,6
FRB,Centre — Val de Loire,Centre — Val de Loire,7,3,4,0,32,17,20,6,6,4,11,13,11,7,7,11,12,8,3,3,10,0,13,3,11,4,7,3,7,15,0,15,10,0,6,6,7,6,0,5,4
FRG,Pays de la Loire,Pays de la Loire,7,0,9,0,25,19,21,4,0,4,11,13,11,7,7,14,9,13,3,0,6,0,14,0,10,4,7,6,4,20,3,13,12,0,4,3,5,10,0,6,4
UKJ,South East (England),South East (England),18,6,5,4,26,23,16,3,0,3,12,10,14,3,8,11,10,4,3,6,6,3,4,3,4,0,3,7,3,28,0,13,11,0,0,7,0,7,0,0,6
NL4,Zuid-Nederland,Zuid-Nederland,19,5,7,0,35,19,20,5,0,0,12,9,21,5,12,26,15,14,0,0,7,5,8,3,3,0,0,3,3,17,0,16,13,0,5,9,4,4,3,0,7
DE4,Brandenburg,Brandenburg,13,14,11,0,36,22,21,7,0,0,13,3,16,19,9,20,10,21,4,0,3,19,18,0,3,3,3,0,3,29,5,22,6,4,5,11,3,4,3,0,7
UKG,West Midlands (England),West Midlands (England),25,8,6,8,27,19,13,3,0,0,13,11,10,6,5,13,3,0,0,4,6,4,4,0,4,3,0,5,0,32,3,6,9,0,4,3,3,6,3,0,0
ITF,Sud,Sud,27,3,14,9,17,12,6,10,12,7,21,7,14,5,17,9,4,10,14,9,14,16,8,5,18,14,13,6,18,8,10,19,8,7,2,7,12,3,7,0,6
CH0,Schweiz/Suisse/Svizzera,Schweiz/Suisse/Svizzera,14,7,4,8,33,17,18,6,5,8,12,4,16,9,8,7,7,11,12,0,7,4,17,6,20,11,13,6,15,19,7,27,16,3,8,12,12,8,6,5,5
FR1,Ile-de-France,Ile-de-France,4,3,3,0,31,17,19,6,0,0,10,13,12,6,7,13,10,8,0,3,6,0,8,0,7,4,5,0,7,15,3,12,9,0,4,4,5,6,0,0,5
RO3,Macroregiunea Trei,Macroregiunea Trei,10,4,16,9,32,13,7,17,9,10,20,7,25,8,16,11,8,16,6,0,12,13,17,9,7,9,4,0,6,16,8,22,10,8,9,8,16,11,3,0,7
UKN,Northern Ireland,Northern Ireland,20,9,0,12,19,13,19,9,0,0,3,13,9,6,8,12,0,3,0,8,6,0,3,3,0,0,0,9,3,39,7,4,6,0,4,4,4,7,4,0,9
DEG,Thüringen,Thüringen,15,6,8,4,38,25,21,8,0,3,10,3,18,12,11,26,11,17,4,0,3,13,8,3,4,0,3,0,8,33,3,22,8,0,5,11,4,4,0,0,8
AT1,Ostösterreich,Ostösterreich,9,15,15,4,40,18,17,11,3,3,15,1,22,11,9,23,12,10,6,3,7,11,11,5,9,7,9,0,8,16,3,18,4,0,3,9,3,5,0,0,3
HU3,Alföld és Észak,Alföld és Észak,9,16,18,5,40,12,17,17,13,0,19,0,21,9,20,11,9,14,8,6,13,13,24,4,15,13,4,5,12,13,6,18,4,2,1,5,14,7,8,0,3
CZ0,Česko,Česko,16,14,15,5,41,18,19,12,3,6,21,0,23,15,13,24,13,12,9,3,8,14,15,7,7,9,8,0,13,19,5,22,8,3,4,12,4,6,3,0,8
FRI,Nouvelle-Aquitaine,Nouvelle-Aquitaine,7,3,9,3,29,15,19,6,3,9,16,10,9,5,7,10,10,9,8,3,12,0,13,3,23,9,10,6,9,21,7,20,12,3,10,3,11,9,0,7,7
FRH,Bretagne,Bretagne,6,3,13,0,24,21,24,3,0,5,13,15,16,0,7,8,8,17,3,0,7,0,13,3,5,3,8,7,3,19,0,13,6,0,3,3,5,7,3,0,5
PT1,Continente,Continente,3,2,13,5,12,11,8,4,0,3,7,11,11,12,0,6,7,4,4,10,8,0,8,3,9,11,5,12,6,14,8,12,3,3,5,3,3,11,0,0,10
HU1,Közép-Magyarország,Közép-Magyarország,8,16,8,3,35,9,12,14,3,0,12,0,17,9,13,11,9,11,4,0,12,12,17,4,9,7,0,0,8,9,6,16,4,0,0,5,14,7,0,0,0
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,6,4,3,0,28,15,14,4,0,0,10,7,16,0,9,16,10,8,0,0,6,3,3,0,0,0,0,3,6,11,0,16,10,0,4,0,3,4,0,0,7
SK0,Slovensko,Slovensko,16,17,15,6,39,15,17,16,9,0,21,3,18,11,17,23,9,16,6,5,13,16,15,8,10,14,8,3,11,15,8,18,5,3,3,12,8,9,8,0,7
DE3,Berlin,Berlin,11,6,3,0,30,19,17,4,0,0,6,0,14,15,0,16,8,16,3,0,0,16,14,0,3,3,0,0,0,25,3,16,6,3,4,3,0,3,0,0,6
SI0,Slovenija,Slovenija,14,8,11,7,35,16,15,13,3,3,18,0,19,12,6,15,8,14,14,0,3,6,17,3,7,10,4,3,12,8,6,19,4,3,1,7,7,5,0,3,4
UKL,Wales,Wales,21,9,7,6,31,23,21,3,3,3,16,13,12,6,8,14,3,4,0,6,9,4,7,3,5,0,3,8,6,36,8,13,11,0,3,4,3,7,7,0,6
BE3,Région wallonne,Région wallonne,13,6,9,0,30,21,20,6,0,0,10,15,15,7,9,17,14,11,3,0,9,8,9,3,11,0,3,6,6,22,3,16,12,0,8,7,8,4,3,0,7
