NUTS_ID,NAME_LATN,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
UKK,South West (England),South West (England),22,4,0,10,0,12,11,5,9,16,6,6,0,15,5,6,11,6,6,8,8,16,4,0,3,4,4,4,0,0,9,3,3,10,3,10,0,4,0,3,3,3,0,0,3,0,11,18,0,0,8,3,3,15,3,10,3,0,26,0,13,5,4,5,6,0,13,14,3,3,3,0,11,7,7,6,0,7,0,6,0,8,4,6,8,7,0,0,4,10,4,7,13,6,8
AT2,Südösterreich,Südösterreich,23,34,4,9,3,27,35,23,8,17,9,4,11,19,0,12,12,9,11,19,16,14,7,8,7,12,12,9,4,7,15,0,8,19,0,8,0,3,0,4,16,28,6,9,5,7,8,24,3,4,6,10,0,0,7,15,9,8,15,6,7,3,4,3,7,11,13,22,9,3,18,6,6,3,3,16,9,15,12,7,6,7,27,9,18,10,3,12,6,11,5,9,17,8,7
DE1,Baden-Württemberg,Baden-Württemberg,28,16,7,9,9,35,32,32,12,20,17,6,6,19,7,6,10,8,12,24,13,23,11,7,4,13,11,8,0,3,6,5,6,29,0,12,0,4,0,4,10,13,4,0,16,6,9,24,7,8,14,9,3,4,7,14,14,4,23,3,11,3,8,0,11,3,20,21,7,5,9,0,15,3,3,7,6,12,0,18,5,4,32,5,17,7,3,9,9,16,5,4,13,10,19
FRC,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,25,21,6,8,3,26,25,36,13,24,15,4,0,19,5,7,7,10,16,17,30,19,8,4,6,13,8,8,4,3,9,0,12,21,0,15,0,9,3,9,10,9,4,4,20,0,15,23,7,7,14,4,8,8,9,11,15,3,23,4,9,3,0,3,8,0,12,17,3,7,4,0,16,6,3,6,6,11,6,22,7,3,14,3,12,6,0,16,8,3,4,9,13,11,9
SE3,Norra Sverige,Norra Sverige,28,22,4,7,11,12,4,11,17,6,17,6,4,3,9,5,9,9,8,15,9,20,29,9,8,3,3,9,4,4,4,7,20,14,11,6,5,13,3,4,9,5,4,7,8,3,20,10,6,3,10,15,11,5,4,13,8,0,16,5,9,18,8,4,13,3,5,12,12,4,3,17,6,9,3,7,6,9,7,3,10,9,7,5,15,11,14,12,12,11,9,7,8,11,13
LV0,Latvija,Latvija,45,30,16,11,7,24,12,14,10,16,4,4,3,5,9,3,6,6,8,16,14,22,31,20,6,0,8,8,19,3,5,6,10,3,0,7,0,4,0,0,11,20,0,8,17,3,15,15,7,0,9,16,7,5,6,17,11,0,31,20,12,21,15,4,18,6,15,37,9,0,4,13,7,7,4,0,14,17,7,12,4,3,7,8,21,25,9,7,8,16,8,3,13,8,8
LI0,Liechtenstein,Liechtenstein,19,8,4,7,0,16,10,13,7,12,0,5,0,9,0,15,8,5,3,3,0,9,0,0,0,12,3,4,0,0,0,0,5,9,0,7,0,0,0,0,5,0,0,0,6,6,0,17,3,0,3,0,0,0,9,7,6,0,18,0,3,3,0,0,0,0,12,13,0,0,0,3,6,0,0,3,3,3,0,12,10,7,3,0,5,3,0,5,3,0,0,6,7,0,0
ES4,Centro (ES),Centro (ES),21,13,10,6,13,22,14,20,12,29,4,7,7,8,4,10,8,8,12,13,26,8,3,4,6,12,8,8,0,3,10,3,13,17,0,23,7,15,4,4,5,0,7,6,13,3,24,15,9,3,9,9,5,11,9,5,7,4,25,3,6,0,13,7,9,0,6,10,0,8,4,7,12,12,12,4,4,7,6,23,0,4,5,6,15,4,9,5,6,5,4,13,6,0,4
DEC,Saarland,Saarland,25,14,4,7,11,23,12,28,11,16,13,4,0,13,7,4,10,4,11,12,8,17,7,9,0,13,13,3,0,0,6,0,3,22,0,7,0,0,0,6,6,0,3,0,8,0,13,17,7,6,7,8,3,4,7,12,13,0,24,3,7,3,3,3,6,0,16,15,0,4,0,0,14,0,0,3,0,6,0,4,5,0,11,0,14,7,3,8,8,9,5,0,7,0,13
ITH,Nord-Est,Nord-Est,25,38,13,11,7,29,52,31,19,20,11,11,12,17,3,17,17,13,23,23,25,20,7,9,3,13,13,11,8,7,29,0,10,20,0,16,4,7,4,5,14,18,10,10,8,11,11,31,20,8,12,15,10,3,6,22,13,7,14,8,10,5,5,6,13,12,26,21,8,12,17,10,14,4,4,13,8,14,7,19,13,10,28,10,14,9,10,20,12,14,7,6,13,10,6
