NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
South West (England),UKK,South West (England),3,10,9,22,13,9,3,3,0,0,12,0,0,7,6,12,8,7,19,19,7,3,0,5,5,4,6,0,0,0,3,3,3,3,4,5,11,0,3,5,4,3,3,6,0,0,7,6,0,0,0,4,0,0,0,0,4,6,3,8,0,0,0,6,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Südösterreich,AT2,Südösterreich,12,29,14,16,33,9,6,4,3,3,11,3,8,4,8,6,24,21,21,23,4,0,4,6,6,15,4,11,9,6,12,5,9,0,13,15,12,0,6,9,15,3,3,14,8,10,7,0,5,10,0,4,0,9,0,0,0,8,6,12,18,7,3,0,0,6,0,0,3,3,3,0,3,6,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Baden-Württemberg,DE1,Baden-Württemberg,15,33,9,21,18,11,8,5,6,0,12,3,3,4,8,13,20,20,36,25,4,0,0,11,10,12,7,14,6,17,0,0,9,0,7,17,16,3,11,12,18,7,5,15,4,4,8,3,3,5,0,4,0,4,0,3,0,11,5,19,7,0,4,3,0,8,0,0,0,0,4,0,5,0,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,16,30,24,45,20,4,5,5,4,0,14,0,3,3,6,7,13,11,37,24,3,3,3,6,12,9,7,10,7,15,3,6,7,0,10,16,16,3,12,10,13,9,6,16,5,3,9,3,4,3,0,4,0,0,0,4,0,9,5,17,10,0,7,6,0,6,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Norra Sverige,SE3,Norra Sverige,6,11,21,13,14,9,10,12,12,6,12,4,5,13,7,16,4,12,14,4,19,7,6,5,6,0,4,5,0,3,3,6,3,6,3,10,3,3,4,13,7,10,4,0,3,3,4,8,6,9,6,0,8,4,4,4,6,7,4,10,7,0,0,6,0,6,0,0,0,0,0,3,4,4,3,0,0,3,6,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0
Latvija,LV0,Latvija,10,22,28,19,19,5,9,17,6,0,3,3,0,0,10,10,12,16,18,26,14,16,8,0,0,0,3,4,0,3,4,9,0,0,0,23,5,4,0,23,12,6,0,3,0,11,8,3,4,8,7,6,8,3,0,0,0,9,4,11,7,0,0,7,5,5,0,0,0,0,0,0,0,9,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LI0,Liechtenstein,10,20,8,3,4,6,8,3,4,0,0,0,0,0,0,3,7,4,19,0,0,0,0,3,4,4,0,4,0,14,3,0,3,0,0,16,10,0,3,0,0,3,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centro (ES),ES4,Centro (ES),14,19,17,44,13,4,13,4,3,4,7,6,6,9,7,8,13,14,30,3,0,8,0,3,8,4,7,8,5,16,7,13,15,0,8,3,7,3,3,6,10,6,3,14,9,3,3,3,3,3,0,6,3,0,0,0,3,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saarland,DEC,Saarland,10,24,8,20,19,7,0,3,0,0,6,0,0,0,4,8,15,8,33,23,4,0,0,3,7,13,0,8,4,9,0,0,6,0,4,19,15,0,0,12,9,3,4,12,0,6,5,0,0,0,0,3,0,0,0,0,0,10,0,20,0,0,3,3,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
Nord-Est,ITH,Nord-Est,15,37,18,28,36,14,14,9,4,0,16,7,11,8,3,11,18,24,41,25,5,0,7,16,8,11,10,16,9,18,14,10,11,3,13,24,15,0,9,7,19,6,8,18,7,8,11,3,7,4,3,4,0,6,0,0,0,8,6,12,11,7,5,3,4,8,0,0,3,0,3,0,6,6,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
