NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UKK,South West (England),South West (England),26.4137931034483,8.93103448275862,53.1379310344828,39.5172413793103,19.2758620689655,14.7931034482759,21.8620689655172,13.5172413793103,76.6206896551724,71.6551724137931,36.5172413793103,27.3103448275862,25.5172413793103,31.5862068965517,69.7241379310345,45.7586206896552,17.4137931034483,13.2068965517241,27.5862068965517,11.6551724137931,31.4827586206897,36.551724137931,68,22.4137931034483,15.9655172413793,39.7241379310345,16.6206896551724,10.9310344827586,18.9310344827586,25.8275862068966,48,4,28,17,25,24,14,55,16,22
AT2,Südösterreich,Südösterreich,21.6206896551724,28.8620689655172,39.3103448275862,24.1724137931034,48.7586206896552,40.3793103448276,28.2068965517241,34.3448275862069,28.5862068965517,29.3103448275862,29.2068965517241,60.7931034482759,46.5172413793103,29.3448275862069,38.2068965517241,18.0689655172414,24.3448275862069,14.9310344827586,19.448275862069,37.0344827586207,40.4137931034483,23.4827586206897,64.3448275862069,23.5172413793103,28.8275862068966,36.8965517241379,25.5862068965517,18.3448275862069,18.3103448275862,27.1034482758621,26,22,44,13,32,27,31,19,48,14
DE1,Baden-Württemberg,Baden-Württemberg,10.2758620689655,24.4137931034483,50.1724137931034,16.8965517241379,47,43.0344827586207,17,19.1034482758621,34.6896551724138,43.5862068965517,62.3448275862069,26,20.7586206896552,25.0344827586207,26.3103448275862,18.2068965517241,43.2758620689655,19.3793103448276,24.1379310344828,16.551724137931,28.5172413793103,12.7931034482759,76.7241379310345,39.7931034482759,32.8965517241379,39.4827586206897,22.4137931034483,14.6206896551724,41.3103448275862,25.5172413793103,19,27,34,29,63,39,34,94,51,57
FRC,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,6.55172413793104,14.6206896551724,37.5862068965517,15.551724137931,51.3103448275862,24.7241379310345,11.2413793103448,11.4137931034483,49.448275862069,53.3103448275862,38.8965517241379,20.2758620689655,20.5172413793103,13.1034482758621,34.6896551724138,45.1034482758621,32.5172413793103,24.9310344827586,20.8965517241379,20.8275862068966,13.8965517241379,16.3103448275862,72.9655172413793,36.8965517241379,48.6551724137931,38.1379310344828,18.6896551724138,13.1034482758621,41.8620689655172,22.4827586206897,34,30,26,27,59,41,36,95,89,73
SE3,Norra Sverige,Norra Sverige,29.9655172413793,37.9655172413793,52.7931034482759,34.1379310344828,23.7931034482759,37.448275862069,29.4137931034483,35.3793103448276,67,40.6206896551724,31.6896551724138,48.9310344827586,22.1724137931034,62.2413793103448,60.7931034482759,45.2758620689655,67.3103448275862,27.6896551724138,45.1724137931034,33.0344827586207,22.4137931034483,56.2758620689655,47.4827586206897,30,43.6896551724138,58.4827586206897,47.8965517241379,33.2758620689655,34.551724137931,27.3793103448276,16,20,32,50,32,39,36,59,42,39
LV0,Latvija,Latvija,9.03448275862069,26.0689655172414,28.3448275862069,8.75862068965517,11.4827586206897,18,16.2413793103448,17.6551724137931,32.0344827586207,14.5172413793103,16.6206896551724,55,21.4137931034483,43.2068965517241,40.3103448275862,41.3448275862069,40.3448275862069,12.8620689655172,48.2413793103448,37.8275862068966,14.7586206896552,62.9310344827586,34.3793103448276,15,50.7931034482759,56.8965517241379,23.448275862069,30.6551724137931,22.8620689655172,18,28,6,25,26,49,32,14,60,32,30
LI0,Liechtenstein,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES4,Centro (ES),Centro (ES),30.551724137931,28.3448275862069,34.2413793103448,31.5172413793103,51.5172413793103,46.6896551724138,24.3793103448276,34.4137931034483,49.8275862068966,34.7586206896552,41.8965517241379,16.3448275862069,15.2758620689655,48.6551724137931,45.9655172413793,27.9655172413793,16.4137931034483,41.2758620689655,27.0689655172414,64.2068965517241,43.4137931034483,26.2413793103448,49.448275862069,39.9655172413793,73.2413793103448,36.5862068965517,30.5862068965517,26.6206896551724,68,49.6896551724138,68,81,48,41,48,64,82,37,58,50
DEC,Saarland,Saarland,4.10344827586207,12.1724137931035,30.8275862068966,13.4137931034483,22.6896551724138,14,1.93103448275862,10.6551724137931,15.9310344827586,34.7241379310345,56.1379310344828,18.0689655172414,30.4137931034483,23.8620689655172,18.2413793103448,25.7586206896552,42.2758620689655,15.4137931034483,22.3448275862069,9.27586206896552,16.0689655172414,22.3103448275862,51.1379310344828,25.8620689655172,41.1034482758621,21.0344827586207,6.68965517241379,6.75862068965517,29.1724137931034,17.8275862068966,21,13,14,21,35,35,19,78,43,56
ITH,Nord-Est,Nord-Est,18.7241379310345,23.9310344827586,51.3793103448276,34.0689655172414,56.2413793103448,38.3793103448276,36.4827586206897,39.448275862069,35.448275862069,32.6206896551724,56,45.8275862068966,43.0689655172414,47.8275862068966,50.7931034482759,27.0344827586207,46,42.7241379310345,25.3793103448276,40.2068965517241,40.2758620689655,23.1034482758621,81.4137931034483,67.3793103448276,32.1034482758621,58.1034482758621,50.8275862068966,38.1379310344828,43.2413793103448,22.1724137931034,50,62,43,14,40,22,55,61,50,21
AL0,Shqipëria,Shqipëria,25.5172413793103,31.2758620689655,32.7586206896552,54.5862068965517,73.6206896551724,46.1379310344828,43.7586206896552,61.551724137931,10.7586206896552,60.3103448275862,21.551724137931,44,65.1379310344828,51.9310344827586,33.1034482758621,32.1034482758621,62.7931034482759,23.5172413793103,46.2413793103448,61.0344827586207,35.448275862069,11.8965517241379,62.2068965517241,24.7586206896552,14.7241379310345,22.6896551724138,58.6551724137931,41.2758620689655,24.551724137931,31.2413793103448,45,92,38,7,47,6,53,45,45,20
DE2,Bayern,Bayern,24.7241379310345,33,46.6896551724138,21.2758620689655,39.2068965517241,40.1034482758621,18.1379310344828,22.0689655172414,31.6896551724138,38.7586206896552,63.6551724137931,43.3793103448276,15.1379310344828,38.7586206896552,25.8965517241379,16.6551724137931,41.7931034482759,14.8275862068966,31.6551724137931,26.4137931034483,27.7586206896552,16.3448275862069,81.5172413793104,38.9310344827586,35.5172413793103,43.1724137931034,15.2758620689655,25.2758620689655,29.9310344827586,33.1379310344828,22,23,35,27,53,29,34,90,54,42
