NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098
South West (England),UKK,South West (England),32.0460526315789,11.7894736842105,25.0723684210526,20.5592105263158,2.48888888888889,16.4473684210526,9.17105263157895,14.1710526315789,27.1842105263158,60.3355263157895,18.0789473684211,9.13157894736842,41.3421052631579,6.8421052631579,6.13815789473684,10.2105263157895,6.42763157894737,25.9473684210526,28.1447368421053,9.63157894736842,9.48026315789474,25.8289473684211,16.5065789473684,16.6052631578947,34.3289473684211,18.6381578947368,64.8355263157895,23.3421052631579,3.93939393939394,5.64473684210526,21.8289473684211,2.74829931972789,15.6710526315789,9.71052631578947,12.7828947368421,32.7105263157895,35.2302631578947,8.46052631578947,38.6907894736842,24.4210526315789,41.4407894736842,8.64473684210526,26.8684210526316,18.1776315789474,56.5394736842105,30.2631578947368,26.9210526315789,28.8947368421053,40.5328947368421,28.7236842105263,43.2236842105263,71.3223684210526,42.1052631578947,18.8618421052632,39.9276315789474,84.3486842105263,13.2302631578947,26.7368421052632,40.1842105263158,36.75,49.6578947368421,34.6644736842105,16.0131578947368,31.5263157894737,44.5789473684211,27.5197368421053,24.5789473684211,59.2105263157895,7.19078947368421,55.4144736842105,54.8289473684211,54.9013157894737,42.3421052631579,59.6118421052632,26.8092105263158,12.3157894736842,70.3289473684211,51.2960526315789,39.0986842105263,48.5065789473684,56.4144736842105,51.6447368421053,62.0921052631579,58.1973684210526,35.9671052631579,68.6776315789474,82.3092105263158,40.0986842105263,51.671052631579,37.7105263157895,36.9473684210526,31.953947368421,41.0197368421053
Südösterreich,AT2,Südösterreich,13.2113402061856,15.0360824742268,16.8144329896907,29.5257731958763,22.3350515463918,23.3865979381443,15.6649484536082,9.2680412371134,39.2422680412371,21.9020618556701,11.7216494845361,19.7938144329897,29.860824742268,36.0154639175258,21.6546391752577,13.0773195876289,37.5515463917526,21.8350515463918,14.0876288659794,20.0773195876289,14.4432989690722,27.4948453608247,19.6701030927835,10.0721649484536,7.27225130890052,16.1907216494845,48.2835051546392,12.5360824742268,38.9742268041237,31.2680412371134,29.7268041237113,10.2835051546392,22.6701030927835,12.2783505154639,12.479381443299,19.5103092783505,26.5360824742268,18.0979381443299,25.9020618556701,13.8144329896907,12.8350515463918,13.8092783505155,16.8453608247423,8.39411764705882,20.9845360824742,20.1237113402062,14.840206185567,25.6030927835052,25.7474226804124,42.180412371134,35.9690721649484,25.0412371134021,27.2371134020619,26.479381443299,37.798969072165,32.0154639175258,17.3762886597938,30.7938144329897,15.1030927835052,18.2731958762887,43.680412371134,11.9639175257732,40.5,63.6185567010309,53.0567010309278,37.8298969072165,32.2577319587629,15.8969072164948,51.0103092783505,44.0309278350516,54.9381443298969,14.6701030927835,20.520618556701,94.5257731958763,30.7422680412371,30.5515463917526,22.5360824742268,43.3505154639175,26.7628865979381,62.5309278350515,95.639175257732,40.3865979381443,28.3505154639175,42.7061855670103,52.2628865979381,72.139175257732,31.6649484536082,57.0670103092784,33.520618556701,53.1907216494845,49.840206185567,24.2474226804124,33.0515463917526
Baden-Württemberg,DE1,Baden-Württemberg,18.3381294964029,10.1151079136691,19.2517985611511,29.3669064748201,20.1151079136691,19.3489208633094,17.5251798561151,16.9604316546763,48.9460431654676,35.931654676259,17.7661870503597,26.5719424460432,56.9712230215827,18.2374100719424,12.1978417266187,5.90494296577947,21.2697841726619,26.1978417266187,8.79136690647482,35.0071942446043,18.5647482014389,32.3057553956835,28.1618705035971,16.1079136690647,20.0575539568345,10.8812949640288,69.726618705036,19.6942446043165,20.9028776978417,18.3237410071942,15.9172661870504,3.66425992779783,13.3201438848921,12.7446043165468,19.1978417266187,29.6079136690647,33.4604316546763,14.6906474820144,26.5143884892086,31.4280575539568,27.0179856115108,6.38848920863309,19.6654676258993,5.01811594202899,43.6007194244604,38.3812949640288,17.2410071942446,46.9028776978417,38.4568345323741,32.0071942446043,53.658273381295,57.9208633093525,23.3848920863309,45.0467625899281,50.4820143884892,35.6978417266187,20.5647482014388,28.5971223021583,25.1402877697842,11.8669064748201,55.6330935251799,19.0395683453237,19.1906474820144,64.5395683453237,55.8453237410072,33.7086330935252,34.8741007194245,37.0359712230216,39.4532374100719,38.841726618705,62.4532374100719,28.3525179856115,16.8741007194245,76.3453237410072,33.8489208633093,32.5575539568345,51.226618705036,59.4820143884892,41.1906474820144,59.9748201438849,106.971223021583,38.1870503597122,52.205035971223,41.2625899280576,52.2410071942446,76.4676258992806,61.9064748201439,59.9604316546763,58.158273381295,58.4064748201439,52.4388489208633,15.1654676258993,24.8093525179856
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,25.2465373961219,17.1246537396122,32.814404432133,29.98891966759,14.2326869806094,8.1578947368421,6.64166666666667,15.7396121883657,47.7756232686981,35.398891966759,9.99722991689751,22.8698060941828,63.1412742382272,27.2576177285319,12.9058171745152,8.5983379501385,16.5540166204986,25.8864265927978,14.4681440443213,22.2299168975069,12.1939058171745,38.5180055401662,41.9002770083103,17.2382271468144,24.4875346260388,19.8393351800554,54.3961218836565,21.8282548476454,18.4930747922438,22.3850415512465,14.4958448753463,6.62326869806094,9.75346260387812,12.5595567867036,42.6869806094183,30.1080332409972,42.9972299168975,10.819944598338,38.0526315789474,40.5124653739612,34.6565096952909,8.26315789473684,21.1246537396122,14.0720221606648,45.3213296398892,41.5096952908587,21.617728531856,51.8891966759003,35.0941828254848,35.7396121883656,70.9750692520776,67.0138504155125,39.3518005540166,62.9639889196676,53.0387811634349,61.8199445983379,20.3240997229917,40.1163434903047,42.0637119113573,38.4847645429363,62.3074792243767,35.0941828254848,22.2963988919668,70.3351800554017,64.3518005540166,44.3130193905817,27.5650969529086,53.2409972299169,42.3961218836565,74.5927977839335,52.4182825484765,50.9141274238227,28.9806094182825,93.2409972299169,33.7008310249307,33.4210526315789,75.6038781163435,71.5567867036011,57.4238227146814,82.2105263157895,101.346260387812,47.1551246537396,71.1080332409972,51.3711911357341,48.1883656509695,88.8116343490305,90.9722991689751,71.7340720221607,55.2576177285319,64.9168975069252,65.3434903047091,43.6481994459834,64.2271468144044
Norra Sverige,SE3,Norra Sverige,12.6257292882147,5.77154912597951,15.9253426655001,7.44661700806952,9.0791450028885,6.69062307217767,38.2527409117138,17.1499855783098,11.0909355026148,7.85155555555556,9.44046242774567,5.99360730593607,8.84622248661511,8.46082682856317,6.74270072992701,11.1374530753682,4.60618238021638,8.58741258741259,15.3447679446526,11.9832515160266,7.36598557692308,11.6207897793264,4.73998164576323,10.042041171354,9.55449507389163,11.2375324300951,13.7673590504451,17.1443418013857,7.50868558193399,13.4125547445255,6.52321755027422,8.20980847359257,8.77253814147018,15.9237875288684,5.90614281259744,19.1386566733929,12.0153445280834,4.9,8.56269113149847,13.4498229043684,11.8305378831695,8.85797288573273,8.73385689354276,12.6168493941143,11.2094512195122,9.37882285054818,9.9140625,8.19413813116657,7.53533738407419,9.59889309641713,8.41054839676356,25.4373556581986,9.91296625222025,8.33890972021921,29.5301239550303,16.4730314392847,16.7907177861055,10.0299157711298,12.2661641055378,20.1683482271548,6.67763599731363,11.907225433526,10.5044681464399,7.30896431679722,19.9636576787808,6.93780339805825,7.39345686160973,14.5584078453995,7.34483767183387,11.7551905794856,19.1011818968002,9.28950471698113,12.7215770171149,11.2837756332931,8.49620327102804,15.0713254403696,16.7450187698527,7.04019746121298,8.52508960573477,7.5010395010395,7.77731092436975,10.8858120721842,11.1349160393746,8.28453850676073,13.9037105182459,9.95011806375443,16.930487804878,4.20060790273556,16.1804554626694,16.4438967816758,8.46284779050736,7.84816053511706,9.23112525310963
Latvija,LV0,Latvija,6.97833935018051,11.7104316546763,2.30827067669173,17.0881294964029,4.70772058823529,4.58691588785047,34.4046762589928,12.8723021582734,50.2877697841727,14.5935251798561,26.3902877697842,18.8471223021583,17.9712230215827,15.3291366906475,3.35817805383023,2.31334622823985,7.89748201438849,4.96043165467626,14.0341726618705,21.5089928057554,3.60611510791367,20.9622302158273,1.97082228116711,11.6564748201439,34.6564748201439,19.9856115107914,80.25,18.9478417266187,13.591726618705,24.5287769784173,24.0575539568345,3.36920222634508,2.92985611510791,40.3830935251799,5.51654411764706,7.33093525179856,30.6061151079137,2.65945945945946,5.90810810810811,31.1834532374101,4.48375451263538,32.6007194244604,4.7589928057554,16.2302158273381,12.2446043165468,12.1744604316547,4.34712230215827,9.57014388489209,4.21467889908257,47.3381294964029,28.5791366906475,82.363309352518,6.28237410071943,10.0737410071942,29.3273381294964,42.6834532374101,30.3129496402878,22.205035971223,21.4478417266187,1.95527156549521,12.5737410071942,4.62769784172662,16.2230215827338,25.5359712230216,70.1187050359712,27.2230215827338,11.1888489208633,3.5879917184265,16.613309352518,17.5593525179856,47.8129496402878,14.9748201438849,13.0737410071942,18.3093525179856,24,34.5593525179856,48.3687050359712,13.9388489208633,18.021582733813,17.2571942446043,29.6996402877698,21.4892086330935,7.36151079136691,20.1672661870504,14.0017985611511,23.1097122302158,39.6690647482014,6.45143884892086,39.1906474820144,9.56834532374101,8.32553956834532,7.48201438848921,31.0737410071942
Liechtenstein,LI0,Liechtenstein,5,20,22,24,17,17,25,18,37,11,19,41,56,25,12,7,24,22,8,31,7,25,20,18,15,22,72,18,27,16,6,8,13,17,19,34,38,25,21,29,26,9,16,13,29,38,14,47,35,54,49,39,28,33,54,44,44,38,20,9,57,28,37,87,61,34,37,29,44,51,82,24,12,70,35,35,53,62,36,66,83,47,44,43,57,78,56,68,50,68,56,30,43
Centro (ES),ES4,Centro (ES),10.4005468215995,17.9077238550923,13.1660970608339,15.9596719070403,13.7566643882433,8.32019363762102,12.6387362637363,15.1011619958988,17.9624060150376,15.6914523974983,11.4634313055366,18.8161312371839,17.9603554340396,27.3082706766917,43.742993848257,26.8133971291866,13.8824333561176,33.0293916609706,22.0348598769651,20.203007518797,6.56134338588074,37.9084073820916,21.2276144907724,12.6785225718194,16.0758714969241,9.0328317373461,13.1742993848257,10.0068352699932,47.7047163362953,26.7245386192755,20.6616541353383,56.796992481203,31.2248803827751,19.0792891319207,38.2665755297334,18.5123119015048,16.7368421052632,17.5837320574163,53.8010936431989,36.7894736842105,17.9295967190704,43.3978127136022,18.9528366370472,25.9952153110048,21.2317156527683,31.26999316473,49.6732740943267,20.4292549555707,45.9453178400547,34.2453861927546,50.6965140123035,23.3622693096377,43.9371155160629,39.8557758031442,24.9774436090226,24.8728639781271,27.0574162679426,22.7539302802461,23.6712235133288,53.3834586466165,44.2399179767601,40.4688995215311,37.8031442241969,27.3226247436774,32.8667122351333,32.0123034859877,29.5926179084074,24.0813397129187,59.1708817498291,43.9152426520848,32.9965823650034,41.6015037593985,68.9952153110048,87.0082023239918,44.0881749829118,32.5782638414217,57.4668489405332,53.4531784005468,44.1155160628845,65.3212576896788,77.6411483253589,31.4135338345865,45.7812713602187,51.2002734107997,57.3773069036227,69.2638414217362,43.5707450444293,71.4374572795625,74.2966507177033,93.0198222829802,61.7703349282297,57.041011619959,75.4873547505127
Saarland,DEC,Saarland,23.7727272727273,12.1363636363636,25.1363636363636,20.7727272727273,18.5454545454545,16.6363636363636,7.59090909090909,21.8636363636364,41.3181818181818,51.2272727272727,14.9090909090909,23.1818181818182,56.8181818181818,17,13.8636363636364,6.5,5.95454545454545,19.3181818181818,6.40909090909091,29.6818181818182,18.8181818181818,46.5909090909091,28.2727272727273,14.9090909090909,16.6363636363636,5.13636363636364,69,24.8636363636364,15.2727272727273,17.0454545454545,19.0454545454545,4.72727272727273,5.31818181818182,11.7272727272727,46.9545454545455,37.3181818181818,43.3181818181818,3.59090909090909,36.3636363636364,43.2272727272727,37.1818181818182,14.2727272727273,24.2272727272727,6.63636363636364,55.4545454545455,47.5,16.8636363636364,39.2272727272727,32.7727272727273,33.3636363636364,55.6818181818182,73.3636363636364,19.8181818181818,53.2727272727273,54.9090909090909,61.5454545454545,15.3181818181818,37.0454545454545,33.7727272727273,24.5454545454545,61.4090909090909,37.3636363636364,20.2272727272727,59.3636363636364,56.2727272727273,39.3636363636364,33.0909090909091,55.0454545454546,29.5,45.3181818181818,59.5454545454546,41.2272727272727,16.4545454545455,85.1363636363636,31.4545454545455,30.8181818181818,59.5909090909091,66,47.4090909090909,70.8181818181818,93.3181818181818,31.0909090909091,62.1363636363636,58.9090909090909,47.2272727272727,81.2727272727273,84.8636363636364,57.9545454545455,71.3636363636364,58.7727272727273,48.4545454545455,31.3181818181818,27.1363636363636
Nord-Est,ITH,Nord-Est,18.5229357798165,21.0917431192661,23.0917431192661,26.6376146788991,10.6555023923445,26.4357798165138,4.85885167464115,11.2110091743119,35.5848623853211,41.1009174311927,9.5848623853211,15.0298165137615,18.8248847926267,32.9954128440367,15.551724137931,12.6013824884793,19.4311926605505,35.75,21.802752293578,10.1793103448276,9.60232558139535,30.2385321100917,31.9449541284404,7.71724137931034,5.21761658031088,12.204128440367,25.756880733945,11.6582568807339,44.25,25.7477064220183,20.7018348623853,16.8073394495413,25.0389908256881,15.4908256880734,31.0848623853211,27.0344036697248,42.6651376146789,18.3119266055046,38.7912844036697,23.3142201834862,13.9288990825688,19.0550458715596,17.355504587156,6.76884422110553,27.1009174311927,37.4954128440367,25.9059633027523,23.2064220183486,28.7660550458716,32.7522935779816,55.2912844036697,11.6889400921659,35.0642201834862,31.4678899082569,45.9724770642202,52.5871559633027,26.2454128440367,35.1903669724771,17.8463302752294,44.598623853211,41.6009174311927,30.8050458715596,40.3784403669725,55.9059633027523,55.8623853211009,35.6192660550459,40.9839449541284,29.4082568807339,66.8669724770642,80.2912844036697,60.4197247706422,27.243119266055,33.2821100917431,103.885321100917,28.6582568807339,27.6284403669725,24.7247706422018,58.7431192660551,41.3922018348624,65.3715596330275,105.704128440367,59.0642201834862,39.9564220183486,53.9977064220184,68.2247706422018,91.4908256880734,37.1399082568807,77.9105504587156,46.5894495412844,71.6605504587156,63.5848623853211,32.545871559633,58.355504587156
Shqipëria,AL0,Shqipëria,15.0548780487805,24.8414634146341,39.3292682926829,11.7012195121951,19.2743902439024,37.0121951219512,9.52173913043478,13.0060975609756,26.3231707317073,26.7195121951219,8.39024390243903,27.3841463414634,25.2926829268293,29.3963414634146,45.9146341463415,18.0304878048781,17.8231707317073,14.6585365853659,22.3475609756098,26.8780487804878,13.6158536585366,20.6280487804878,20.4573170731707,15.1036585365854,10.9817073170732,25.4024390243902,39.4878048780488,6.07361963190184,37.5487804878049,28.3536585365854,48.6890243902439,31.0609756097561,17.5548780487805,9.77439024390244,26.8963414634146,72.8414634146341,36.1524390243902,30.5914634146341,29.0670731707317,23.609756097561,25.3780487804878,46.5365853658537,22.7987804878049,10.859756097561,27.9878048780488,43.3963414634146,51.6463414634146,37.4390243902439,36.1341463414634,36.4573170731707,48.8536585365854,39.0670731707317,29.530487804878,71.1280487804878,44.7743902439024,34.2317073170732,48.9268292682927,37.2439024390244,34.8414634146341,48.6219512195122,79.5914634146341,39.1646341463415,56.469512195122,71.8170731707317,52.75,49.7378048780488,62.219512195122,17.2378048780488,68.6280487804878,63.8414634146342,41.640243902439,46.7378048780488,53.4146341463415,107.079268292683,61.859756097561,74.9817073170732,33.8475609756098,80.8658536585366,60.4939024390244,77.2073170731707,112.628048780488,44.1463414634146,56.5853658536585,72.7012195121951,90.0182926829268,97.0731707317073,66.5853658536585,76.3658536585366,67.2560975609756,91.780487804878,75.9817073170732,40.9878048780488,76.1768292682927
