NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UKK,South West (England),South West (England),0,7,10,3,0,4,0,0,11,9,0,0,0,0,18,0,7,0,4,3,4,0,13,3,7,15,0,0,4,0,0,0,9,7,0,3,5,14,4,11
AT2,Südösterreich,Südösterreich,4,3,7,3,4,0,0,4,0,3,3,16,3,11,0,11,0,7,3,5,3,8,28,0,4,7,5,3,3,9,9,19,16,5,33,3,18,10,20,3
DE1,Baden-Württemberg,Baden-Württemberg,0,4,8,3,0,0,0,0,0,4,4,14,0,11,0,0,0,4,0,3,4,4,25,0,8,11,0,0,0,7,5,4,10,6,19,4,14,21,18,9
FRC,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,0,5,6,0,0,3,0,0,0,5,3,7,3,8,3,0,5,4,0,3,3,6,32,4,11,15,0,0,5,5,6,6,9,7,18,5,20,18,21,11
SE3,Norra Sverige,Norra Sverige,3,13,5,5,10,8,4,16,10,7,5,9,0,13,9,8,18,0,8,0,6,26,18,7,12,18,9,13,11,7,12,5,9,29,11,8,7,30,20,25
LV0,Latvija,Latvija,0,4,0,5,0,0,0,13,0,0,3,8,0,11,10,3,13,3,12,0,3,11,13,3,0,12,9,0,3,27,13,7,12,17,4,13,0,27,22,16
LI0,Liechtenstein,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,11,0,0,3,0,0,0,3,3,0,3,0,14,4,12,10,7,0
ES4,Centro (ES),Centro (ES),10,5,7,3,3,4,7,0,10,9,21,7,4,15,8,5,0,7,4,5,9,7,23,8,13,7,3,5,10,8,9,21,15,7,27,12,37,12,23,20
DEC,Saarland,Saarland,0,4,7,0,0,0,0,0,0,5,3,3,0,3,3,0,5,0,0,0,3,4,19,3,5,11,0,0,0,4,3,4,0,5,13,5,12,13,17,9
ITH,Nord-Est,Nord-Est,3,3,10,0,4,0,3,4,0,0,12,10,5,11,4,8,0,15,8,8,7,11,37,3,7,15,5,4,6,10,15,26,15,7,35,8,30,28,30,9
AL0,Shqipëria,Shqipëria,3,4,3,4,3,0,7,8,0,0,0,4,3,3,0,4,3,13,13,12,7,6,19,5,6,13,22,4,3,6,15,33,13,3,31,10,28,12,16,11
DE2,Bayern,Bayern,3,5,11,0,3,0,0,0,0,3,4,15,0,16,3,0,3,3,0,3,4,4,24,0,3,12,3,0,0,9,6,12,13,6,25,6,14,18,20,6
DED,Sachsen,Sachsen,3,7,3,0,0,3,0,0,0,6,0,4,0,12,4,3,5,3,0,3,3,7,12,0,0,15,3,3,0,8,5,6,9,5,19,7,3,19,23,8
UKC,North East (England),North East (England),0,6,10,3,0,3,0,0,9,7,0,0,0,3,7,3,7,0,3,3,0,0,7,5,8,12,0,3,4,0,0,0,4,0,3,3,3,3,9,8
ES5,Este,Este,7,7,14,4,0,4,5,0,3,0,7,0,5,17,3,3,4,4,3,6,8,8,54,3,8,14,4,3,13,7,9,24,7,7,29,9,29,15,21,18
ES6,Sur,Sur,7,4,5,4,0,4,5,3,7,4,14,4,6,20,7,0,3,0,9,5,9,7,20,15,12,9,3,6,12,12,13,33,14,6,34,10,44,10,18,29
FRF,Grand Est,Grand Est,0,7,7,3,0,3,0,0,3,6,4,7,5,9,13,3,5,5,0,0,4,5,29,4,12,13,0,0,0,8,4,7,9,7,18,5,16,23,20,10
