NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
South West (England),UKK,South West (England),3,0,9,3,3,6,7,26,3,11,22,7,0,5,4,0,10,6,4,15,0,0,15,19,0,6,3,10,3,4,6,0,12,3,5,9,13,15,6,3,9,12,33,24,6,19,4,16,0,12,5,10,8,6,15,7,27,16,28,27,8,8,12,32,20,31,5,42,49,41,5,11,11,15,21,11,23,49,8,37,22,18,65,28,5,10,30,18,30,11,50,34,22,41,31
Südösterreich,AT2,Südösterreich,14,15,7,3,0,21,16,4,10,3,27,8,15,7,9,10,27,6,21,24,14,13,17,23,17,17,3,26,25,5,55,12,40,47,33,21,29,24,35,14,24,57,32,8,44,18,28,44,28,48,21,10,53,31,61,27,45,67,43,30,34,36,24,63,20,32,13,23,56,41,36,58,21,47,48,50,3,37,52,42,66,41,50,65,53,42,56,53,47,36,55,54,40,47,48
Baden-Württemberg,DE1,Baden-Württemberg,6,6,6,3,0,23,11,7,3,3,27,4,4,5,4,3,24,8,8,11,6,7,16,20,11,8,6,14,11,6,13,6,21,19,8,15,23,15,11,4,9,29,29,17,16,22,14,14,4,24,12,9,11,21,35,10,44,44,31,30,6,12,17,35,3,12,8,20,27,19,18,19,4,19,20,6,0,44,20,26,63,11,17,37,18,16,44,21,30,23,36,33,22,31,19
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,3,6,7,7,0,21,14,9,0,16,26,4,12,3,10,6,27,10,10,9,0,7,12,27,13,9,6,15,16,10,11,3,19,27,15,14,21,16,9,3,13,34,28,15,13,18,18,18,4,38,16,10,9,16,35,15,38,42,26,28,10,12,23,40,6,16,9,29,28,45,15,23,3,13,17,16,3,49,15,37,66,11,23,33,15,17,46,27,42,28,60,36,29,35,20
Norra Sverige,SE3,Norra Sverige,4,12,11,9,24,10,24,40,13,24,27,18,4,16,11,15,13,37,18,19,12,9,19,31,26,15,33,31,28,35,51,23,21,22,22,61,35,28,29,57,24,40,45,49,48,24,44,37,33,50,35,27,28,25,50,29,49,36,71,47,52,40,39,58,45,49,69,38,41,45,73,58,44,47,42,56,47,53,55,43,71,76,66,58,56,46,25,59,63,54,64,76,65,62,74
Latvija,LV0,Latvija,13,7,3,9,13,15,5,15,9,7,17,3,3,11,4,3,8,55,11,18,15,0,24,7,12,25,17,12,4,25,28,7,10,34,5,88,50,21,22,46,4,25,46,27,55,14,9,13,9,7,10,30,31,31,35,26,75,46,75,18,43,63,4,24,27,79,49,18,54,0,44,37,18,44,45,6,50,37,67,68,89,75,53,78,65,45,24,45,56,57,68,79,79,39,64
Liechtenstein,LI0,Liechtenstein,3,0,0,3,0,19,11,3,0,3,12,4,8,3,3,0,22,6,9,10,3,8,10,10,13,6,3,12,14,5,10,6,14,23,11,6,21,11,5,3,11,27,21,10,14,15,17,7,3,22,9,4,14,17,28,5,35,47,20,19,6,10,10,22,0,14,3,19,28,20,16,19,3,8,18,16,0,34,17,23,67,17,10,29,16,10,39,15,27,26,37,30,30,25,22
Centro (ES),ES4,Centro (ES),10,13,26,21,6,10,31,20,9,22,18,13,19,14,13,26,23,21,15,16,12,12,21,12,20,14,11,37,24,19,23,16,34,37,44,24,34,24,45,20,37,39,25,31,28,25,34,27,29,56,38,18,49,36,22,39,29,53,32,35,24,25,40,48,34,48,35,46,35,52,55,48,41,40,46,51,58,41,48,59,62,29,38,35,40,54,47,30,44,49,63,34,44,45,22
Saarland,DEC,Saarland,3,5,3,0,0,15,3,6,0,4,22,0,0,6,3,3,19,4,4,9,3,3,10,16,4,6,3,7,10,4,6,5,13,14,0,13,15,11,4,3,6,21,27,18,6,14,11,7,0,27,8,9,6,17,31,8,37,35,33,30,3,11,15,20,4,12,0,16,18,17,12,3,0,7,9,5,0,50,0,24,49,9,7,32,13,16,33,24,22,13,25,19,20,25,17
Nord-Est,ITH,Nord-Est,11,18,7,4,0,29,32,7,15,20,31,10,18,11,12,29,34,25,39,28,18,18,29,26,32,22,8,45,57,13,38,18,56,72,57,29,38,31,40,27,43,62,66,13,59,41,37,64,36,75,45,27,62,38,58,56,59,73,56,51,44,47,57,70,19,61,20,56,71,75,60,65,28,64,75,70,25,50,59,74,79,71,76,79,72,57,77,67,57,55,79,61,52,74,72
